Baisley Park,Queens,29.360455779130834
Flushing Meadows-Corona Park,Queens,27.304845733617680
South Jamaica,Queens,26.294916239873466
Randalls Island,Manhattan,24.150989940227525
Astoria Park,Queens,21.706417112147527
Briarwood/Jamaica Hills,Queens,19.945064631789343
Springfield Gardens South,Queens,19.468309288781903
Jamaica,Queens,19.283943000137900
Corona,Queens,18.228769248155974
LaGuardia Airport,Queens,18.181338808373010
Jamaica Bay,Queens,17.100529446757896
Maspeth,Queens,17.005450640079548
Eltingville/Annadale/Prince's Bay,Staten Island,16.837764756944450
JFK Airport,Queens,16.777725348249640
Battery Park,Manhattan,12.849780311142876
Morningside Heights,Manhattan,12.453698026584076
Battery Park City,Manhattan,12.448848404428608
Greenwich Village North,Manhattan,12.446949891694029
Rikers Island,Bronx,12.306300000000000
World Trade Center,Manhattan,12.295411924133374
